3,1032,192.168.0.13:48892
3,1032,192.168.0.13:48888
2,1032,192.168.0.13:48894
6,1032,192.168.0.13:48890
3,1032,192.168.0.13:48896
15,1032,192.168.0.13:48900
3,1032,192.168.0.13:48868
2,1032,192.168.0.13:48898
5,1032,192.168.0.13:48902
4,1032,192.168.0.13:48904
3,1032,192.168.0.13:48910
8,1032,192.168.0.13:48964
3,1032,192.168.0.13:48914
5,1032,192.168.0.13:48958
5,1032,192.168.0.13:48960
3,1032,192.168.0.13:48966
78,1032,192.168.0.13:48912
3,1032,192.168.0.13:48916
3,1032,192.168.0.13:48920
4,1032,192.168.0.13:48974
36,1032,192.168.0.13:48908
4,1032,192.168.0.13:48918
4,1032,192.168.0.13:48922
4,1032,192.168.0.13:48926
4,1032,192.168.0.13:48972
2,1032,192.168.0.13:48976
4,1032,192.168.0.13:48982
6,1032,192.168.0.13:48906
3,1032,192.168.0.13:48930
4,1032,192.168.0.13:48968
22,1032,192.168.0.13:48970
3,1032,192.168.0.13:48978
4,1032,192.168.0.13:48990
3,1032,192.168.0.13:48924
11,1032,192.168.0.13:48928
3,1032,192.168.0.13:48980
4,1032,192.168.0.13:48984
4,1032,192.168.0.13:48932
4,1032,192.168.0.13:48934
3,1032,192.168.0.13:48936
4,1032,192.168.0.13:48946
2,1032,192.168.0.13:48998
4,1032,192.168.0.13:49004
6,1032,192.168.0.13:48962
5,1032,192.168.0.13:48986
3,1032,192.168.0.13:48988
35,1032,192.168.0.13:48992
5,1032,192.168.0.13:48994
4,1032,192.168.0.13:48996
5,1032,192.168.0.13:49000
4,1032,192.168.0.13:49002
5,1032,192.168.0.13:48884
3,1032,192.168.0.13:48938
7,1032,192.168.0.13:48950
4,1032,192.168.0.13:48940
3,1032,192.168.0.13:48942
4,1032,192.168.0.13:48944
5,1032,192.168.0.13:48948
3,1032,192.168.0.13:48952
6,1032,192.168.0.13:49008
5,1032,192.168.0.13:49012
4,1032,192.168.0.13:48956
18,1032,192.168.0.13:49006
4,1032,192.168.0.13:48870
6,1032,192.168.0.13:48954
8,1032,192.168.0.13:49010
7,1032,192.168.0.13:49016
6,1032,192.168.0.13:49014
5,1032,192.168.0.13:49024
7,1032,192.168.0.13:49020
4,1032,192.168.0.13:49028
5,1032,192.168.0.13:49032
11,1032,192.168.0.13:49018
5,1032,192.168.0.13:49022
4,1032,192.168.0.13:49026
5,1032,192.168.0.13:49030
6,1032,192.168.0.13:49040
6,1032,192.168.0.13:49042
6,1032,192.168.0.13:49034
2,1032,192.168.0.13:49038
8,1032,192.168.0.13:49044
5,1032,192.168.0.13:49036
11,1032,192.168.0.13:49046
12,1032,192.168.0.13:49048
4,1032,192.168.0.13:49050
5,1032,192.168.0.13:49052
3,1032,192.168.0.13:49054
4,1032,192.168.0.13:49056
6,1032,192.168.0.13:49064
4,1032,192.168.0.13:49058
3,1032,192.168.0.13:49060
3,1032,192.168.0.13:49062
6,1032,192.168.0.13:49066
4,1032,192.168.0.13:49068
3,1032,192.168.0.13:49070
5,1032,192.168.0.13:49072
5,1032,192.168.0.13:49074
3,1032,192.168.0.13:49078
4,1032,192.168.0.13:49080
6,1032,192.168.0.13:49076
4,1032,192.168.0.13:49082
5,1032,192.168.0.13:49084
4,1032,192.168.0.13:49086
2,1032,192.168.0.13:49088
6,1032,192.168.0.13:49094
4,1032,192.168.0.13:49096
8,1032,192.168.0.13:49090
3,1032,192.168.0.13:49092
5,1032,192.168.0.13:49098
4,1032,192.168.0.13:49100
6,1032,192.168.0.13:49102
3,1032,192.168.0.13:49104
4,1032,192.168.0.13:49106
2,1032,192.168.0.13:49108
4,1032,192.168.0.13:49110
5,1032,192.168.0.13:49116
4,1032,192.168.0.13:49118
6,1032,192.168.0.13:49112
9,1032,192.168.0.13:49114
4,1032,192.168.0.13:49140
35,1032,192.168.0.13:49122
3,1032,192.168.0.13:49124
7,1032,192.168.0.13:49130
4,1032,192.168.0.13:49132
5,1032,192.168.0.13:49128
4,1032,192.168.0.13:49144
5,1032,192.168.0.13:49134
4,1032,192.168.0.13:49166
8,1032,192.168.0.13:49136
2,1032,192.168.0.13:49138
31,1032,192.168.0.13:49142
5,1032,192.168.0.13:49150
6,1032,192.168.0.13:49172
5,1032,192.168.0.13:49148
13,1032,192.168.0.13:49160
5,1032,192.168.0.13:49176
6,1032,192.168.0.13:49192
3,1032,192.168.0.13:49120
3,1032,192.168.0.13:49126
4,1032,192.168.0.13:49146
3,1032,192.168.0.13:49154
3,1032,192.168.0.13:49156
4,1032,192.168.0.13:49158
4,1032,192.168.0.13:49194
4,1032,192.168.0.13:49164
3,1032,192.168.0.13:49168
4,1032,192.168.0.13:49188
3,1032,192.168.0.13:49190
5,1032,192.168.0.13:49196
4,1032,192.168.0.13:49198
3,1032,192.168.0.13:49200
2,1032,192.168.0.13:49202
5,1032,192.168.0.13:49204
6,1032,192.168.0.13:49210
4,1032,192.168.0.13:49152
4,1032,192.168.0.13:49162
3,1032,192.168.0.13:49170
11,1032,192.168.0.13:49212
3,1032,192.168.0.13:49206
8,1032,192.168.0.13:49214
4,1032,192.168.0.13:49208
2,1032,192.168.0.13:49174
3,1032,192.168.0.13:49178
2,1032,192.168.0.13:49180
3,1032,192.168.0.13:49184
5,1032,192.168.0.13:49182
7,1032,192.168.0.13:49216
5,1032,192.168.0.13:49186
7,1032,192.168.0.13:49218
8,1032,192.168.0.13:49220
4,1032,192.168.0.13:49224
8,1032,192.168.0.13:49222
5,1032,192.168.0.13:49226
3,1032,192.168.0.13:49228
5,1032,192.168.0.13:49230
3,1032,192.168.0.13:49232
4,1032,192.168.0.13:49234
4,1032,192.168.0.13:49236
4,1032,192.168.0.13:49238
5,1032,192.168.0.13:49240
10,1032,192.168.0.13:49242
5,1032,192.168.0.13:49244
10,1032,192.168.0.13:49246
12,1032,192.168.0.13:49248
54,1032,192.168.0.13:49252
30,1032,192.168.0.13:49260
10,1032,192.168.0.13:49264
36,1032,192.168.0.13:49266
13,1032,192.168.0.13:49268
17,1032,192.168.0.13:49250
20,1032,192.168.0.13:49254
8,1032,192.168.0.13:49272
11,1032,192.168.0.13:49258
10,1032,192.168.0.13:49256
11,1032,192.168.0.13:49262
15,1032,192.168.0.13:49270
12,1032,192.168.0.13:49274
11,1032,192.168.0.13:49276
10,1032,192.168.0.13:49278
15,1032,192.168.0.13:49280
15,1032,192.168.0.13:49282
29,1032,192.168.0.13:49284
9,1032,192.168.0.13:49286
41,1032,192.168.0.13:49290
9,1032,192.168.0.13:49298
15,1032,192.168.0.13:49292
13,1032,192.168.0.13:49300
8,1032,192.168.0.13:49302
24,1032,192.168.0.13:49304
8,1032,192.168.0.13:49306
12,1032,192.168.0.13:49310
8,1032,192.168.0.13:49294
17,1032,192.168.0.13:49312
9,1032,192.168.0.13:49314
16,1032,192.168.0.13:49320
10,1032,192.168.0.13:49324
18,1032,192.168.0.13:49322
17,1032,192.168.0.13:49332
83,1032,192.168.0.13:49334
17,1032,192.168.0.13:49326
79,1032,192.168.0.13:49336
8,1032,192.168.0.13:49338
21,1032,192.168.0.13:49288
9,1032,192.168.0.13:49316
26,1032,192.168.0.13:49296
9,1032,192.168.0.13:49308
11,1032,192.168.0.13:49318
8,1032,192.168.0.13:49328
12,1032,192.168.0.13:49342
8,1032,192.168.0.13:49346
17,1032,192.168.0.13:49354
8,1032,192.168.0.13:49356
30,1032,192.168.0.13:49358
10,1032,192.168.0.13:49366
12,1032,192.168.0.13:49330
12,1032,192.168.0.13:49340
10,1032,192.168.0.13:49348
17,1032,192.168.0.13:49350
6,1032,192.168.0.13:49370
25,1032,192.168.0.13:49372
8,1032,192.168.0.13:49352
19,1032,192.168.0.13:49376
39,1032,192.168.0.13:49378
10,1032,192.168.0.13:49380
8,1032,192.168.0.13:49382
32,1032,192.168.0.13:49384
7,1032,192.168.0.13:49388
23,1032,192.168.0.13:49390
13,1032,192.168.0.13:49392
7,1032,192.168.0.13:49394
