Thread Number,Bytes Sent,IPAddress
26396,8,192.168.0.13:44560
26494,8,192.168.0.13:44548
26373,8,192.168.0.13:44564
26175,8,192.168.0.13:44590
26284,8,192.168.0.13:44576
28319,8,192.168.0.13:44630
26095,8,192.168.0.13:44604
77585,8,192.168.0.13:44478
26254,8,192.168.0.13:44584
26874,8,192.168.0.13:44550
25315,8,192.168.0.13:44684
26076,8,192.168.0.13:44610
25323,8,192.168.0.13:44686
26455,8,192.168.0.13:44562
45616,8,192.168.0.13:44450
26514,8,192.168.0.13:44556
25366,8,192.168.0.13:44690
25949,8,192.168.0.13:44652
26130,8,192.168.0.13:44608
25818,8,192.168.0.13:44666
26286,8,192.168.0.13:44598
26299,8,192.168.0.13:44634
28382,8,192.168.0.13:44538
26001,8,192.168.0.13:44646
29038,8,192.168.0.13:44664
26497,8,192.168.0.13:44578
29001,8,192.168.0.13:44668
26342,8,192.168.0.13:44602
29422,8,192.168.0.13:44620
26602,8,192.168.0.13:44568
29447,8,192.168.0.13:44618
26551,8,192.168.0.13:44600
31717,8,192.168.0.13:44572
26439,8,192.168.0.13:44616
32775,8,192.168.0.13:44574
26228,8,192.168.0.13:44648
29235,8,192.168.0.13:44642
29214,8,192.168.0.13:44644
45981,8,192.168.0.13:44676
29696,8,192.168.0.13:44586
26532,8,192.168.0.13:44606
25816,8,192.168.0.13:44670
31648,8,192.168.0.13:44580
26477,8,192.168.0.13:44566
34135,8,192.168.0.13:44650
38095,8,192.168.0.13:44656
44221,8,192.168.0.13:44654
26066,8,192.168.0.13:44594
26459,8,192.168.0.13:44612
25907,8,192.168.0.13:44662
26299,8,192.168.0.13:44588
26605,8,192.168.0.13:44570
29388,8,192.168.0.13:44622
26047,8,192.168.0.13:44614
25920,8,192.168.0.13:44658
29070,8,192.168.0.13:44660
27561,8,192.168.0.13:44632
32503,8,192.168.0.13:44636
36227,8,192.168.0.13:44638
26826,8,192.168.0.13:44534
25911,8,192.168.0.13:44674
29858,8,192.168.0.13:44486
29988,8,192.168.0.13:44490
28882,8,192.168.0.13:44542
26989,8,192.168.0.13:44682
29967,8,192.168.0.13:44512
26333,8,192.168.0.13:44582
29363,8,192.168.0.13:44628
29359,8,192.168.0.13:44624
26535,8,192.168.0.13:44558
31007,8,192.168.0.13:44712
27038,8,192.168.0.13:44720
34950,8,192.168.0.13:44692
79707,8,192.168.0.13:44448
28260,8,192.168.0.13:44640
26244,8,192.168.0.13:44592
26193,8,192.168.0.13:44596
25890,8,192.168.0.13:44700
26665,8,192.168.0.13:44706
26788,8,192.168.0.13:44746
26410,8,192.168.0.13:44816
26917,8,192.168.0.13:44744
26447,8,192.168.0.13:44814
26879,8,192.168.0.13:44710
26815,8,192.168.0.13:44770
26819,8,192.168.0.13:44774
27417,8,192.168.0.13:44748
27262,8,192.168.0.13:44778
27445,8,192.168.0.13:44758
27390,8,192.168.0.13:44776
27403,8,192.168.0.13:44786
25722,8,192.168.0.13:44728
27887,8,192.168.0.13:44752
27954,8,192.168.0.13:44742
26044,8,192.168.0.13:44824
25779,8,192.168.0.13:44750
28078,8,192.168.0.13:44790
28109,8,192.168.0.13:44794
28566,8,192.168.0.13:44796
28822,8,192.168.0.13:44762
28557,8,192.168.0.13:44800
27374,8,192.168.0.13:44736
29322,8,192.168.0.13:44820
29864,8,192.168.0.13:44722
29371,8,192.168.0.13:44810
29777,8,192.168.0.13:44772
27307,8,192.168.0.13:44842
29894,8,192.168.0.13:44730
29117,8,192.168.0.13:44804
27321,8,192.168.0.13:44840
29870,8,192.168.0.13:44738
27618,8,192.168.0.13:44784
29954,8,192.168.0.13:44732
27648,8,192.168.0.13:44780
29968,8,192.168.0.13:44724
29932,8,192.168.0.13:44704
29904,8,192.168.0.13:44764
29927,8,192.168.0.13:44714
29173,8,192.168.0.13:44798
29401,8,192.168.0.13:44766
29926,8,192.168.0.13:44768
27585,8,192.168.0.13:44788
27623,8,192.168.0.13:44782
28061,8,192.168.0.13:44792
27987,8,192.168.0.13:44832
26210,8,192.168.0.13:44756
27785,8,192.168.0.13:44754
29770,8,192.168.0.13:44806
28013,8,192.168.0.13:44828
29831,8,192.168.0.13:44802
38707,8,192.168.0.13:44702
41587,8,192.168.0.13:44688
38724,8,192.168.0.13:44696
28541,8,192.168.0.13:44718
28624,8,192.168.0.13:44830
30275,8,192.168.0.13:44812
28846,8,192.168.0.13:44822
30333,8,192.168.0.13:44808
30270,8,192.168.0.13:44818
28847,8,192.168.0.13:44826
28578,8,192.168.0.13:44844
38930,8,192.168.0.13:44694
28616,8,192.168.0.13:44846
30852,8,192.168.0.13:44716
39087,8,192.168.0.13:44708
39122,8,192.168.0.13:44698
44043,8,192.168.0.13:44672
27788,8,192.168.0.13:44880
27789,8,192.168.0.13:44864
27789,8,192.168.0.13:44876
27748,8,192.168.0.13:44866
27790,8,192.168.0.13:44868
28857,8,192.168.0.13:44990
29734,8,192.168.0.13:45012
30838,8,192.168.0.13:44986
26887,8,192.168.0.13:44878
34378,8,192.168.0.13:44726
31196,8,192.168.0.13:45030
41898,8,192.168.0.13:44918
33754,8,192.168.0.13:44982
33809,8,192.168.0.13:44972
33612,8,192.168.0.13:45022
33793,8,192.168.0.13:44978
46925,8,192.168.0.13:44950
25948,8,192.168.0.13:44934
103628,8,192.168.0.13:44858
34006,8,192.168.0.13:44942
26217,8,192.168.0.13:44894
26209,8,192.168.0.13:44902
25999,8,192.168.0.13:44936
50758,8,192.168.0.13:44848
26200,8,192.168.0.13:44888
31948,8,192.168.0.13:44928
28932,8,192.168.0.13:44904
33744,8,192.168.0.13:44994
63662,8,192.168.0.13:44852
26902,8,192.168.0.13:44906
